,score,pearson,spearman,ssim,r2,rmse,kolmogorov_smirnov,jensen_shannon,run_time,percentage,maptag,approach,category
30,1.0,0.9632958173751831,0.9804986119270325,0.9991397261619568,0.9278549551963806,0.2786722779273987,0.023967362940311432,0.020338954403996468,0.3525404930114746,2.0,50.0,regkrige,spatial
31,0.8095238095238095,0.8790549039840698,0.8730601668357849,0.9966574907302856,0.7691196799278259,0.498521625995636,0.06960733979940414,0.07665847986936569,0.2856559753417969,2.0,50.0,rbf,deterministic
32,0.6904761904761905,0.8712562918663025,0.863066554069519,0.9964362382888794,0.757120668888092,0.5113118290901184,0.04079551249742508,0.08192276209592819,2.723588705062866,2.0,50.0,krige,spatial
33,0.42857142857142855,0.8503534197807312,0.8360123038291931,0.9956482648849487,0.697821319103241,0.5703250169754028,0.11218766123056412,0.08653736859560013,0.0024025440216064453,2.0,50.0,knn,deterministic
34,0.35714285714285715,0.8341860175132751,0.824970006942749,0.9958062767982483,0.6953988671302795,0.5726065635681152,0.09714431315660477,0.09740830957889557,0.004586935043334961,2.0,50.0,idw,deterministic
35,0.21428571428571427,0.8085169792175293,0.8457729816436768,0.983549177646637,0.03274592012166977,1.0203773975372314,0.494390606880188,0.09879884868860245,159.18436980247498,2.0,50.0,swr,spatial
36,0.9047619047619048,0.9896180629730225,0.9886130690574646,0.9997711777687073,0.979337215423584,0.14909003674983978,0.01499210949987173,0.010410559363663197,3.088257312774658,5.0,50.0,krige,spatial
37,0.9285714285714286,0.9890419244766235,0.9923015236854553,0.9997783899307251,0.9780824184417725,0.15355026721954346,0.012887953780591488,0.008134388364851475,0.441821813583374,5.0,50.0,regkrige,spatial
38,0.6666666666666666,0.9880928993225098,0.9863042235374451,0.9997225999832153,0.9756767749786377,0.16175761818885803,0.019463440403342247,0.01176806353032589,0.7591750621795654,5.0,50.0,rbf,deterministic
39,0.4523809523809524,0.9647649526596069,0.9596064686775208,0.9988844394683838,0.911037027835846,0.30935630202293396,0.053655970841646194,0.02839892916381359,0.0029664039611816406,5.0,50.0,knn,deterministic
40,0.2619047619047619,0.9467208385467529,0.9684664011001587,0.9846400618553162,0.08819958567619324,0.9903852939605713,0.4658074676990509,0.03142191842198372,172.57120871543884,5.0,50.0,swr,spatial
41,0.2857142857142857,0.9435462951660156,0.9396237730979919,0.9987369179725647,0.8861220479011536,0.3500048816204071,0.04865860193967819,0.03904978558421135,0.025090932846069336,5.0,50.0,idw,deterministic
42,1.0,0.9999008774757385,0.9998888373374939,0.9999978542327881,0.999801754951477,0.014597519300878048,0.003609105944633484,0.00016626024444121867,3.972540855407715,10.0,50.0,krige,spatial
43,0.8333333333333333,0.9988318681716919,0.9986327290534973,0.9999765157699585,0.9976235628128052,0.05053959786891937,0.006107717752456665,0.0016550455475226045,0.9641773700714111,10.0,50.0,rbf,deterministic
44,0.6666666666666666,0.9877932071685791,0.9927662014961243,0.9997545480728149,0.9755033254623413,0.16226451098918915,0.018323153257369995,0.008377115242183208,1.2730612754821777,10.0,50.0,regkrige,spatial
45,0.5,0.9855148792266846,0.9837437868118286,0.9996254444122314,0.9646608233451843,0.19489389657974243,0.029428094625473022,0.014429626986384392,0.0031070709228515625,10.0,50.0,knn,deterministic
46,0.3333333333333333,0.9728662967681885,0.9716046452522278,0.9994993805885315,0.9438366293907166,0.24569526314735413,0.03220432996749878,0.022772453725337982,0.030594348907470703,10.0,50.0,idw,deterministic
47,0.16666666666666666,0.860298752784729,0.902855396270752,0.9862974286079407,0.16861188411712646,0.9453052878379822,0.41143807768821716,0.07464087754487991,168.65276193618774,10.0,50.0,swr,spatial
48,1.0,1.0,1.0,1.0,1.0,5.93112008573371e-06,0.0006662225350737572,6.145955272485182e-11,7.848053216934204,25.0,50.0,krige,spatial
49,0.8333333333333333,0.9999610781669617,0.9999514818191528,0.9999994039535522,0.999921441078186,0.009189700707793236,0.003331112675368786,8.755124872550368e-05,0.8270151615142822,25.0,50.0,rbf,deterministic
50,0.5952380952380951,0.9942935109138489,0.9936005473136902,0.9998572468757629,0.9853710532188416,0.12540248036384583,0.019986676052212715,0.006504529621452093,0.0033223628997802734,25.0,50.0,knn,deterministic
51,0.35714285714285715,0.9924995303153992,0.9917502999305725,0.9998354315757751,0.9814437031745911,0.1412360817193985,0.021985342726111412,0.007901114411652088,0.09331488609313965,25.0,50.0,idw,deterministic
52,0.5476190476190476,0.991377592086792,0.9951880574226379,0.9998506307601929,0.9827404618263245,0.13621178269386292,0.0186542309820652,0.00558069022372365,17.935150623321533,25.0,50.0,regkrige,spatial
53,0.16666666666666666,0.9620480537414551,0.9807906746864319,0.9906864166259766,0.4017581045627594,0.8019332885742188,0.30512991547584534,0.022413164377212524,176.41691946983337,25.0,50.0,swr,spatial
54,1.0,1.0,1.0,1.0,1.0,4.862157766183373e-06,0.0009995002765208483,2.9751295177460335e-11,30.771862506866455,50.0,50.0,krige,spatial
55,0.8333333333333333,0.9999901056289673,0.9999856352806091,0.9999998211860657,0.9999794363975525,0.004712709225714207,0.003498250851407647,2.2048354367143475e-05,0.538571834564209,50.0,50.0,rbf,deterministic
56,0.5714285714285714,0.9968510866165161,0.9964695572853088,0.9999327063560486,0.9917808175086975,0.09419665485620499,0.016491753980517387,0.0037398957647383213,0.11854076385498047,50.0,50.0,idw,deterministic
57,0.4523809523809524,0.9963732957839966,0.9960229992866516,0.9999324083328247,0.9915885329246521,0.09529237449169159,0.014992503449320793,0.004187718033790588,0.002930164337158203,50.0,50.0,knn,deterministic
58,0.47619047619047616,0.9944040179252625,0.9972557425498962,0.999923050403595,0.9888371825218201,0.10977643728256226,0.014992503449320793,0.0032960069365799427,220.78401136398315,50.0,50.0,regkrige,spatial
59,0.16666666666666666,0.9598040580749512,0.9787086844444275,0.9956426620483398,0.6832976937294006,0.5847190618515015,0.18740630149841309,0.023016097024083138,157.97865462303162,50.0,50.0,swr,spatial
60,0.9523809523809524,0.9864545464515686,0.9849469065666199,0.9994798898696899,0.9730464816093445,0.19519343972206116,0.015298317186534405,0.011505285277962685,2.453680992126465,2.0,75.0,krige,spatial
61,0.761904761904762,0.9807131886482239,0.9800695776939392,0.9992513060569763,0.9615904688835144,0.23301132023334503,0.018357980996370316,0.015468112193048,0.41835951805114746,2.0,75.0,rbf,deterministic
62,0.7857142857142857,0.978519082069397,0.9879835247993469,0.9993212223052979,0.955745279788971,0.2501136064529419,0.030851606279611588,0.010715093463659286,0.30632543563842773,2.0,75.0,regkrige,spatial
